#,Name,Pos.,School,Age,HT,WT,pSPARQ,z-score,NFL%,LastName,HT,WT,Arm,Hand,Wing,40,20,10,SS,TC,BP,VJ,BJ
80,Tyler Lockett,WR,Kansas State,23,5097,182,114.5,-0.1,46,Lockett,5097,182,30,8.375,70.75,4.4,2.59,1.55,4.07,6.89,,35.5,10.08
81,Antwan Goodley,WR,Baylor,24,5102,209,114.4,-0.1,45.5,Goodley,5102,209,30.75,9.25,77.5,4.44,2.59,1.56,4.38,7.19,,35,10.58
82,Bud Sasser,WR,Missouri,23.3,6025,219,114.3,-0.1,45.3,Sasser,6025,219,33,10.13,,4.52,2.64,1.59,4.38,6.88,18,34.5,10
83,Jarrod West,WR,Syracuse,23.3,6017,212,114,-0.1,44.1,West,6017,212,30.75,10.25,,4.56,2.64,1.65,4.19,7.06,19,35.5,10.17
84,Lemar Durant,WR,Simon Fraser,23,6015,227,113.3,-0.2,41.8,Durant,6015,227,,10,,4.61,2.53,1.56,4.56,7.18,27,37,9.75
85,R.J. Harris,WR,New Hampshire,23.3,5117,191,113.3,-0.2,41.7,Harris,5117,191,33.13,9.13,77.5,4.51,2.63,1.64,4.2,7.23,18,37.5,10.58
86,Jordan Taylor,WR,Rice,23.6,6043,209,113.1,-0.2,41.2,Taylor,6043,209,32.75,9.25,76.5,4.5,2.58,1.57,4.46,6.69,9,36.5,10.17
87,Damond Powell,WR,Iowa,22.9,5104,178,113.1,-0.2,41,Powell,5104,178,30.38,8.88,,4.52,2.53,1.54,4.38,6.4,,36.5,10.25
88,J.J. Nelson,WR,UAB,23.4,5102,156,112.9,-0.2,40.4,Nelson,5102,156,31.125,8.25,73,4.28,2.51,1.49,4.15,7.02,,36,10.58
89,Jaxon Shipley,WR,Texas,23.1,6001,192,112.8,-0.3,40,Shipley,6001,192,30.88,9.25,,4.49,2.65,1.56,4.37,6.82,10,35.5,10.67
90,Aaron Bradley,WR,Ohio,24.9,5114,204,112.7,-0.3,39.6,Bradley,5114,204,,,,4.57,2.71,1.57,4.21,6.89,14,36,9.92
