#,Name,Pos.,School,Age,HT,WT,pSPARQ,z-score,NFL%,LastName,HT,WT,Arm,Hand,Wing,40,20,10,SS,TC,BP,VJ,BJ
134,Isiah Corbett,ILB,Southeast Louisiana,23.5,6002,245,101.9,-1.5,6.2,Corbett,6002,245,32.63,9.75,,4.79,2.81,1.65,4.65,7.06,21,32,9.17
135,L.A. Goree,ILB,Maryland,24,6016,231,101.3,-1.6,5.7,Goree,6016,231,,,,4.95,2.82,1.69,4.36,7.08,21,31.5,9.67
136,Demarco Cobbs,ILB,Texas,,6010,222,101.2,-1.6,5.6,Cobbs,6010,222,,,,4.65,2.75,1.65,4.51,7.35,21,31.5,9.42
137,Xavier Russo,ILB,Brown,,6046,257,101.1,-1.6,5.4,Russo,6046,257,,9.25,,4.71,2.6,1.63,4.61,7.77,24,31.5,9.08
138,Isaiah Fleming,ILB,Cheyney,,5102,227,100.9,-1.6,5.3,Fleming,5102,227,32.25,9.13,,4.63,2.72,1.68,4.46,7.2,20,30.5,9.17
139,Chase Williams,ILB,Virginia Tech,23.9,6011,231,100.5,-1.7,4.9,Williams,6011,231,31.5,9.88,75.625,4.82,2.83,1.67,4.38,7.18,22,32,9
140,Eric Reimer,LB,NW Missouri State,,6013,235,98.9,-1.7,4.9,Reimer,6013,235,,9.5,,4.74,2.73,1.69,4.66,7.11,21,29.5,9.58
141,Marcell Jones,OLB,Wayne State (MI),23,5110,228,97.5,-1.7,4.8,Jones,5110,228,,9.13,,4.69,2.7,1.65,4.59,7.65,23,34,9.08
142,Qushaun Lee,ILB,Arkansas State,23.2,5100,231,100.4,-1.7,4.8,Lee,5100,231,31.13,8.5,,4.75,2.68,1.65,4.71,7.43,17,36,9.5
143,Austin Hasquet,ILB,Northern Arizona,23.8,6007,232,100.3,-1.7,4.7,Hasquet,6007,232,,8.5,,4.7,2.77,1.68,4.52,7.26,29,31,8.75
144,Terry Ross,LB,Winston-Salem,,5113,238,98.4,-1.7,4.6,Ross,5113,238,,,,4.81,2.68,1.66,4.48,7.44,20,34,8.92
145,Gabe Middlebrook,ILB,Charleston Southern,,6006,226,100,-1.7,4.5,Middlebrook,6006,226,31.88,9.63,75.625,4.77,2.73,1.63,4.57,7.28,,32,9.33
146,Andrae Kirk,ILB,Florida Atlantic,22,6006,231,99.9,-1.7,4.4,Kirk,6006,231,31.25,9.13,74.875,4.69,2.68,1.63,5.01,7.54,19,33.5,9.83
147,Cameron Nwosu,ILB,SMU,23.3,5085,232,99.8,-1.7,4.3,Nwosu,5085,232,29.88,9.13,,4.81,2.8,1.65,4.32,7.13,21,29,9.08
148,Travis Hansen,ILB,Humboldt State,23.7,6014,226,99.4,-1.7,4.1,Hansen,6014,226,,,,4.8,2.71,1.6,4.41,6.92,21,27.5,9.08
149,Jermaine Holmes,ILB,Marshall,,5104,234,99.3,-1.7,4,Holmes,5104,234,31.63,9.38,,4.82,2.74,1.71,4.7,7.42,22,36.5,9.42
150,Tank Jakes,ILB,Memphis,22.1,5096,224,98.7,-1.8,3.6,Jakes,5096,224,31.63,9.63,76.625,4.77,2.71,1.66,4.41,7.2,17,30.5,9.42
151,Ty Brown,LB,North Carolina Central,23.2,6041,238,96.9,-1.8,3.6,Brown,6041,238,,9.63,,4.79,2.88,1.64,4.46,7.19,14,30.5,9.08
152,Jerome Howard,ILB,Prairie View A&M,22.7,5110,223,98.4,-1.8,3.4,Howard,5110,223,,8.5,,4.7,2.67,1.65,4.49,7.3,18,32.5,9.08
153,Nigel Terrell,OLB,Jacksonville State,23.8,6004,223,94.9,-1.9,3.2,Terrell,6004,223,,,,4.74,2.73,1.71,4.86,7.55,22,33.5,9.67
154,Tommy Sanders,ILB,Texas A&M,23.8,6004,212,97.8,-1.9,3,Sanders,6004,212,,,,4.6,2.7,1.62,4.6,7.02,12,30,9.5
155,Max Flores,OLB,Northern Colorado,,5110,226,94.4,-1.9,3,Flores,5110,226,,10,,4.75,2.7,1.66,4.56,7.63,28,33,8.67
156,Gabe Ostrow,ILB,Cortland SUNY,24,6001,248,97.3,-1.9,2.8,Ostrow,6001,248,32.13,9.5,,4.97,2.89,1.77,4.45,7.41,19,33,9.75
157,Alex Twine,ILB,Maryland,21.8,6001,235,97.3,-1.9,2.7,Twine,6001,235,,,,4.87,2.78,1.7,4.55,7.38,16,31.5,10.08
