#,Name,Pos.,School,Age,HT,WT,pSPARQ,z-score,NFL%,LastName,HT,WT,Arm,Hand,Wing,40,20,10,SS,TC,BP,VJ,BJ
128,Anthony Gaffney,FS,Princeton,,6002,207,96.1,-2.1,1.7,Gaffney,6002,207,,,,4.72,2.75,1.64,4.44,6.87,7,32,9.5
129,Santavius Oden,SS,Jacksonville State,,6001,193,96,-2.1,1.6,Oden,6001,193,,,,4.75,2.72,1.73,4.3,7.21,13,34.5,10.33
130,Reggis Ball,SS,Memphis,,5085,200,96,-2.1,1.6,Ball,5085,200,,,,4.8,2.76,1.65,4.38,7.38,14,32.5,10.17
131,Andrew Dale,SS,Tennessee State,,6032,219,95.9,-2.2,1.6,Dale,6032,219,,,,4.8,2.73,1.69,4.54,7.26,16,35,9.75
132,James Stanfield,SS,Virginia-Lynchburg,,5076,204,95.7,-2.2,1.5,Stanfield,5076,204,,,,4.83,,,4.22,6.9,23,,9.33
133,Johnny Jackson,FS,Arizona,,5090,188,95,-2.2,1.3,Jackson,5090,188,,,,4.7,2.69,1.64,4.52,7.43,14,35.5,
134,Ishmael Harrison,SS,UTEP,,5110,193,94.9,-2.2,1.3,Harrison,5110,193,,,,4.82,2.76,1.65,4.2,7.16,13,31.5,9.75
135,Isaiah Johnson,SS,South Carolina,,5116,212,94.8,-2.2,1.2,Johnson,5116,212,,,,4.79,2.75,1.68,4.3,7.07,18,30.5,9.58
136,Dartez Jacobs,SS,Georgia State,,6005,201,94.8,-2.3,1.2,Jacobs,6005,201,,,,4.69,2.68,1.56,4.37,7.47,11,31.5,9.42
137,Eddie Horn,SS,Northern Arizona,,5083,201,94.7,-2.3,1.2,Horn,5083,201,,,,4.78,2.83,1.65,4.29,7.43,16,33.5,9.58
138,Domonique Lennon,SS,East Carolina,,5115,210,94.6,-2.3,1.2,Lennon,5115,210,,,,4.81,2.83,1.66,4.46,7.33,21,32.5,9.75
139,Leondre Simmon,SS,St. Lawrence,,5112,198,94.2,-2.3,1,Simmon,5112,198,,,,4.81,2.76,1.64,4.53,6.99,13,31.5,9.92
140,Brison Burris,FS,Miami (OH),,5104,190,94,-2.3,1,Burris,5104,190,,,,4.63,2.63,1.64,4.4,7.02,19,31,9.5
141,Geno Matias-Smith,SS,Alabama,,5114,192,93.8,-2.3,1,Matias-Smith,5114,192,,,,4.57,2.66,1.58,4.33,7.26,8,31.5,9.25
142,Trevon Stewart,FS,Houston,,5082,190,92.5,-2.5,0.7,Stewart,5082,190,,,,4.73,2.72,1.66,4.24,7.22,,33.5,9.25
143,Jared Velasquez,SS,William & Mary,,5111,202,92.5,-2.5,0.7,Velasquez,5111,202,,,,4.85,2.81,1.61,4.25,6.89,14,28,9.25
144,Dernard Turner,SS,Bowling Green,,5114,196,92.5,-2.5,0.7,Turner,5114,196,,,,4.66,2.67,1.68,4.38,7.28,14,32.5,9.75
