#,Name,Pos.,School,Age,HT,WT,pSPARQ,z-score,NFL%,LastName,HT,WT,Arm,Hand,Wing,40,20,10,SS,TC,BP,VJ,BJ
108,Arjen Colquhoun,CB,Michigan State,,6003,188,106.9,-1,15.9,Colquhoun,6003,188,,,,4.59,2.7,1.65,4.29,7.07,,37,10.08
109,Brett Layton,CB,Ohio,,5114,200,106.6,-1,15.1,Layton,5114,200,,,,4.55,2.61,1.59,4.25,7.09,14,30.5,10.17
110,Lloyd Carrington,CB,Arizona State,,5107,194,106.4,-1,14.8,Carrington,5107,194,,,,4.6,2.73,1.65,4.34,6.88,14,34,10.25
111,Deangelo James,CB,Wagner,,5084,170,106.4,-1.1,14.7,James,5084,170,,,,4.44,2.45,1.57,4.47,7.1,13,35,10.5
112,Larry Scott,CB,Oregon State,,5112,194,106,-1.1,13.9,Scott,5112,194,,,,4.58,2.69,1.64,4.23,7.09,18,34,10
113,Ray Tillman,CB,Eastern Michigan,,5104,185,106,-1.1,13.8,Tillman,5104,185,,,,4.72,2.72,1.66,4.38,6.95,9,37.5,10.5
114,Wayne Lyons,CB,Michigan,,5106,190,106,-1.1,13.8,Lyons,5106,190,,,,4.58,2.65,1.64,4.38,7,12,35.5,10.25
115,Terrell Burt,CB,Baylor,,5082,179,105.5,-1.1,12.8,Burt,5082,179,,,,4.48,2.57,1.61,4.36,6.81,8,33,10.33
116,Pierre Romain,CB,San Diego State,,5072,170,105.4,-1.1,12.7,Romain,5072,170,,,,4.46,2.56,1.56,4.4,7.01,17,36,9.75
117,Malcolm Jackson,CB,Charleston Southern,,5102,183,105.1,-1.2,12,Jackson,5102,183,,,,4.71,2.74,1.62,4.5,7.45,16,38.5,10.75
118,Rodney Woodberry,CB,Florida A&M,,5077,191,105,-1.2,11.9,Woodberry,5077,191,,,,4.56,2.53,1.5,4.31,6.83,6,30.5,9.58
119,Jamarcus Howard,CB,Middle Tennessee State,,5093,182,104.7,-1.2,11.4,Howard,5093,182,,,,4.55,2.72,1.64,4.45,7.07,14,37,10.25
120,Levonte Douglas,CB,Central Oklahoma,,5074,170,104.6,-1.2,11.1,Douglas,5074,170,,,,4.64,2.7,1.57,4.45,7.24,10,36.5,10.58
121,Tony McRae,CB,North Carolina A&T,23.3,5090,178,104.3,-1.3,10.5,McRae,5090,178,,,,4.56,2.6,1.59,4.33,7.55,13,36.5,10.42
122,Stefon Armstead,CB,Central Michigan,,5101,179,103.9,-1.3,9.8,Armstead,5101,179,,,,4.79,2.73,1.65,4.34,6.84,13,37.5,10.08
123,Kris Givens,CB,Akron,,5086,174,103.6,-1.3,9.5,Givens,5086,174,,,,4.64,2.64,1.6,4.34,6.89,10,35.5,10
124,Tracy Howard,CB,Miami,22.3,5101,183,103.6,-1.3,9.4,Howard,5101,183,,,,4.6,2.63,1.59,4.43,7.3,14,36,10.17
125,Taveze Calhoun,CB,Mississippi State,23.7,6003,192,103.6,-1.3,9.3,Calhoun,6003,192,31.875,9,75.625,4.58,2.65,1.59,4.5,6.99,14,35.5,9.67
126,David Mims II,CB,Texas State,,5095,184,103.3,-1.4,8.8,Mims II,5095,184,,,,4.55,2.57,1.66,4.16,7.23,5,35.5,10.25
127,Jimmy Pruitt,CB,San Jose State,23.8,5115,198,102.9,-1.4,8.3,Pruitt,5115,198,30.375,9.375,73,4.65,2.72,1.6,4.38,7.03,19,32.5,9.75
128,Trevor Baker,CB,Texas-San Antonio,,6015,190,102.7,-1.4,7.9,Baker,6015,190,,,,4.62,2.6,1.59,4.63,7.44,12,37,10.5
129,Solomon St. Pierre,CB,Sioux Falls,,5096,183,102.4,-1.4,7.6,St. Pierre,5096,183,,,,4.65,2.58,1.53,4.47,7.09,13,34,9.75
130,Cre'von LeBlanc,CB,Florida Atlantic,22.1,5097,185,101.9,-1.5,6.9,LeBlanc,5097,185,,,,4.67,2.72,1.63,4.21,6.95,21,34,9.5
131,Trevon Hartfield,CB,SW Oklahoma State,24.8,6002,186,101,-1.6,5.8,Hartfield,6002,186,,,,4.48,2.63,1.59,4.6,7.12,19,32.5,10.17
