#,Name,ID,Pos.,School,Age,HT,WT,pSPARQ,z-score,NFL%,LastName,HT,WT,Arm,Hand,Wing,40,20,10,SS,TC,BP,VJ,BJ
86,Shane Johnson,,ILB,Coastal Carolina,,6005,230,108.1,-1,15.3,Johnson,6005,230,31.75,10.125,77.625,4.81,2.71,1.68,4.47,6.91,21,34,9.58
87,Caleb Tucker,,OLB,Louisiana-Monroe,,6015,230,106.1,-1,14.9,Tucker,6015,230,33,8.5,76.875,4.69,2.79,1.65,4.43,7.23,22,31.5,9.58
88,Joey Burkett,,OLB,Missouri,,6016,223,105.9,-1.1,14.6,Burkett,6016,223,30.125,9,76,4.83,2.72,1.71,4.19,7.19,23,32.5,9.67
89,Pat Afriyie,,OLB,Colgate,,6010,230,105.1,-1.1,13.2,Afriyie,6010,230,33.25,9,75.25,4.79,2.81,1.64,4.54,7.46,19,33,10.17
90,Byron Evans,,ILB,Northern Arizona,,5117,227,106.9,-1.1,13.1,Evans,5117,227,30.5,9,75.125,4.9,2.78,1.7,4.35,7.2,17,35.5,9.92
91,Nyles Morgan,,ILB,Notre Dame,,6007,230,106.4,-1.2,12.3,Morgan,6007,230,33,9.25,80.25,4.76,2.76,1.63,4.38,7.21,,32,9.5
92,Ja'Whaun Bentley,,ILB,Purdue,,6015,246,105.9,-1.2,11.4,Bentley,6015,246,32,9.5,77,4.75,2.69,1.66,4.4,7.12,31,29.5,9.25
93,Parris Bennett,,OLB,Syracuse,,6000,233,103.5,-1.2,11,Bennett,6000,233,33.375,10,79.5,4.81,2.8,1.69,4.46,7.06,11,31,10
94,Bobby Jones IV,,OLB,Northern Illinois,,5110,225,103.1,-1.3,10.5,Jones IV,5110,225,30.25,9.5,74.625,4.77,2.76,1.7,4.33,,19,30.5,9.75
95,Jonathan Celestin,,OLB,Minnesota,,6000,230,103,-1.3,10.2,Celestin,6000,230,30.25,8.875,75.5,4.75,2.71,1.73,4.43,7.38,27,32.5,9.67
96,Elliot Berry,,OLB,Tennessee,,5111,204,102.5,-1.3,9.6,Berry,5111,204,31.125,9.5,76,4.64,2.75,1.65,,,13,31.5,9.5
97,Terrell Lewis,,OLB,Georgia Tech,,6006,226,101.1,-1.4,8,Lewis,6006,226,32.125,10,77.625,4.71,2.73,1.63,4.53,7.4,15,32,9.67
98,Eric Boggs,,ILB,Appalachian State,,6010,239,103.3,-1.4,7.7,Boggs,6010,239,31.375,9.5,75.625,4.77,2.69,1.72,4.25,7.08,22,30.5,9.17
99,T.J. McCollum,,OLB,Purdue,,6013,234,100.8,-1.4,7.7,McCollum,6013,234,31,9.125,77.5,4.87,2.81,1.75,4.46,7.13,27,33.5,9.33
100,Gyasi Akem,,OLB,Oklahoma State,,6015,240,100.5,-1.4,7.4,Akem,6015,240,31.875,9.625,76.375,4.8,2.78,1.65,4.52,7.41,19,32,9.5
101,Solomon McGinty,,OLB,Liberty,,6004,226,100.2,-1.5,7.1,McGinty,6004,226,31.5,9.125,77.5,4.81,2.7,1.69,4.53,7.15,25,31,9.67
102,Terrell Porter,,OLB,Ferris State,,6024,218,100,-1.5,6.9,Porter,6024,218,32.625,9.375,79.125,4.81,2.79,1.68,4.58,7.47,19,34,10.08
103,Justin Green,,OLB,Fresno State,,6032,204,99.9,-1.5,6.8,Green,6032,204,32.75,8.75,79.875,4.72,2.72,1.66,4.53,7.14,8,33,9.92
104,Courtney Love,,ILB,Kentucky,,6014,236,102.2,-1.5,6.5,Love,6014,236,35.25,9.25,77.375,4.81,2.78,1.69,4.56,7.21,24,34,9.33
105,Clarence Smith,,OLB,Northern Arizona,,6023,233,98.9,-1.6,5.9,Smith,6023,233,31.5,9.25,77.25,4.65,2.73,1.65,4.37,7.6,17,31,9.17
106,Luder Jean Louis,,OLB,Eastern Kentucky,,6035,236,98.8,-1.6,5.9,Jean Louis,6035,236,33.875,,79,4.84,2.76,1.69,4.5,7.45,21,31.5,9.75
107,Dwayne Eugene Jr.,,OLB,Arkansas,,5113,227,98.6,-1.6,5.7,Eugene Jr.,5113,227,33,10.5,79.25,4.81,2.85,1.72,4.44,7.34,13,31.5,9.92
108,Shaheed Salmon,,ILB,Samford,,6007,225,101.1,-1.6,5.5,Salmon,6007,225,32.125,9.25,77.5,4.68,2.71,1.58,4.45,7.31,15,29.5,9.5
109,Vontae Diggs,,OLB,Connecticut,,6022,236,98,-1.6,5.2,Diggs,6022,236,33.125,9.375,80.875,4.81,2.84,1.6,4.7,7.4,17,30.5,9.75
110,Grant Ross,,ILB,Air Force,,6000,221,100.8,-1.6,5.2,Ross,6000,221,31.375,9.125,76.25,4.73,2.8,1.62,4.56,7.14,17,31,9.58
111,Lawrence Montegut,,OLB,UTEP,,6007,227,97.4,-1.7,4.8,Montegut,6007,227,31.25,9.75,75.625,4.71,2.74,1.74,4.51,7.09,11,31.5,9.42
112,Airius Moore,,OLB,North Carolina State,,5112,230,97.1,-1.7,4.6,Moore,5112,230,32.25,9.375,76,5.03,2.87,1.72,4.3,7.2,19,32.5,9.5
113,Danny Ezechukwu,,OLB,Purdue,,6014,247,97,-1.7,4.5,Ezechukwu,6014,247,33.25,10.125,78,4.89,2.82,1.7,4.53,7.68,26,31.5,9.75
114,Frankie Luvu,,ILB,Washington State,,6021,235,99.9,-1.7,4.4,Luvu,6021,235,32.75,9.75,77.875,4.84,2.8,1.7,4.26,7.03,21,29.5,9.17
115,Rae Juan Marbley,,ILB,Tulane,,5106,234,99.7,-1.7,4.3,Juan Marbley,5106,234,32.75,9.25,76.375,4.88,2.84,1.62,4.43,7.52,17,31.5,9.75
116,Caleb Caston,,OLB,Arkansas State,,6002,238,96.7,-1.7,4.3,Caston,6002,238,32.625,9,77,4.88,2.75,1.59,4.58,7.69,12,32.5,9.75
117,LaKel Bass,,OLB,Texas-San Antonio,,6002,221,96.6,-1.7,4.2,Bass,6002,221,31,9.125,76.25,4.81,2.84,1.77,4.35,7.41,20,33,9.42
118,D.J. Sanders,,ILB,Middle Tennessee State,,6006,223,99,-1.8,3.8,Sanders,6006,223,31.875,9,71.125,4.56,2.68,1.76,4.43,7.75,15,32.5,9.67
119,Craig Suits,,OLB,Tulsa,,5115,222,95.9,-1.8,3.8,Suits,5115,222,31,9.5,73.25,4.75,2.75,1.7,4.47,7.34,16,32,9.33
120,Dez Harris,,ILB,Mississippi State,,6025,241,98.4,-1.8,3.4,Harris,6025,241,33,9.5,77.375,4.85,2.85,1.76,4.38,7.37,18,30,9.83
121,Alvin Jones,,ILB,UTEP,,5105,231,98.3,-1.8,3.3,Jones,5105,231,33.875,10.5,80.75,4.75,2.79,1.71,4.52,7.25,19,34,9
122,Cameron Stapleton,,OLB,Connecticut,,6034,247,95.1,-1.8,3.3,Stapleton,6034,247,32,9.75,79.625,5,2.86,1.65,4.5,7.28,17,30,9.5
123,Sammy Douglas,,OLB,TCU,,6020,212,94.7,-1.9,3.1,Douglas,6020,212,32.75,9.75,80.875,4.78,2.7,1.63,4.46,7.3,18,28.5,9.67
124,Treyvon Williams,,ILB,Florida International,,5101,213,97.9,-1.9,3.1,Williams,5101,213,30.375,8.5,73,4.8,2.71,1.68,4.46,7.02,24,31,9.33
125,Kavika Luafatasaga,,OLB,Utah,,6035,247,94.2,-1.9,2.8,Luafatasaga,6035,247,32.25,9.125,79.25,4.93,2.89,1.69,4.78,7.33,15,32,9.58
126,Robert Spillane,,ILB,Western Michigan,,6012,229,97.3,-1.9,2.8,Spillane,6012,229,32.5,9.25,75.75,4.77,2.79,1.73,4.4,7.13,10,32.5,9.17
