#,Name,ID,Pos.,School,Age,HT,WT,pSPARQ,z-score,NFL%,LastName,HT,WT,Arm,Hand,Wing,40,20,10,SS,TC,BP,VJ,BJ
106,Demetrius Farmer,,DT,Grand Valley State,,6003,277,82.1,-2.1,1.9,Farmer,6003,277,31.5,9.5,78,5.24,3.03,1.84,4.9,7.69,25,28,8.33
107,Malik Forrester,,DT,Fresno State,,5117,290,81.9,-2.1,1.8,Forrester,5117,290,32,9.625,78.5,5.03,2.9,1.74,4.74,7.83,23,24,8.08
108,Jay Murphy,,DT,Tennessee-Martin,,6013,336,80,-2.2,1.3,Murphy,6013,336,31.375,9,76,5.41,3.17,2.01,5.08,7.94,23,26.5,7.92
109,Julien Laurent,,DT,Georgia State,,6027,298,79.9,-2.2,1.3,Laurent,6027,298,32.875,10.375,78.5,5.46,3.11,1.94,,,23,26.5,8.42
110,George Frazier,,DT,Colorado,,6014,258,79.6,-2.3,1.2,Frazier,6014,258,,,,4.95,2.89,1.8,4.64,7.71,23,25,8.92
111,Anthony Moten,,DT,Miami,,6031,297,79.4,-2.3,1.2,Moten,6031,297,33.875,9.625,80.75,5.16,3.06,1.9,4.75,8.06,22,28.5,7.83
112,Baron Poole II,,DT,Troy,,6005,272,79.1,-2.3,1.1,Poole II,6005,272,33.75,9.75,80.125,5.1,2.93,1.81,,,26,26.5,8.08
113,Simeyon Robinson,,DT,James Madison,,6010,274,78.3,-2.3,1,Robinson,6010,274,32,8.375,77.125,5.09,3.01,1.86,4.71,7.5,20,26.5,8.08
114,DeQuinton Osborne,,DT,Oklahoma State,,5115,300,78.2,-2.4,0.9,Osborne,5115,300,31.375,9.75,77.375,5.15,3.07,1.84,4.88,7.86,24,24.5,7.83
115,Michael Hill,,DT,Ohio State,,6024,315,78.1,-2.4,0.9,Hill,6024,315,32.5,9.125,78.875,5.46,3.14,1.87,,,28,22.5,
116,Rod Crayton,,DT,Southern Miss,,6000,267,78,-2.4,0.9,Crayton,6000,267,31.875,8.75,77,5.24,3.03,1.85,4.88,7.97,,28.5,8.25
117,Matt Elam,,DT,Kentucky,,6051,348,77.8,-2.4,0.9,Elam,6051,348,33,10.375,80.75,5.3,3.03,1.82,5.27,8.07,16,24,7.08
118,Chris Bradley,,DT,TCU,,6011,268,77.2,-2.4,0.8,Bradley,6011,268,32.75,9.25,77.5,5.32,2.95,1.73,4.77,7.86,15,24.5,8.25
119,A.J. Logan,,DT,Missouri,,6010,334,77.1,-2.4,0.8,Logan,6010,334,30.75,9,77.125,5.76,3.23,2,4.81,8.2,20,25,7.92
120,Oddie Granger III,,DT,Eastern Michigan,,6010,326,75.6,-2.5,0.6,Granger III,6010,326,30.75,9.625,74.875,5.6,3.14,1.9,4.97,8.53,22,27.5,7.08
121,Jamal Stadom,,DT,Troy,,6011,266,75.4,-2.6,0.5,Stadom,6011,266,32,9.125,78.25,5.47,3.13,1.79,5.09,8.25,14,31,7.75
122,Ousmane Camara,,DT,Stony Brook,,6013,308,75.1,-2.6,0.5,Camara,6013,308,31.375,8.75,76.625,5.53,3.08,1.78,4.91,7.93,24,22,7.42
123,John Atkins,DL01,DT,Georgia,25.7,6027,321,74.6,-2.6,0.5,Atkins,6027,321,34,9.25,79.5,5.38,3.13,1.92,4.75,7.95,23,24,7.42
124,Jacky Dezir,,DT,Kansas,,6011,287,74.5,-2.6,0.4,Dezir,6011,287,33.25,9.5,78.875,5.27,3.08,1.82,4.87,7.9,16,20,8.67
125,Chris Okoye,,DT,Ferris State,,6045,325,74.4,-2.6,0.4,Okoye,6045,325,33.25,9.625,80.375,5.51,3.25,1.92,5.2,8.57,23,24,7.75
126,Lowell Lotulelei,DL10,DT,Utah,23.4,6015,315,73.7,-2.7,0.4,Lotulelei,6015,315,33,9.625,77.5,5.39,3.18,1.91,4.93,7.97,28,23.5,7.42
127,Derrick Dunlap,,DT,Eastern Michigan,,6012,308,73.3,-2.7,0.3,Dunlap,6012,308,33,10.125,78.375,5.62,3.05,1.88,5.03,8.44,21,25.5,7.5
128,Gerald Sterling,,DT,Jacksonville State,,6022,330,72.8,-2.7,0.3,Sterling,6022,330,32.25,9,79.625,5.5,3.19,1.9,5.09,8.58,19,21.5,7.83
129,De'Asian Richardson,,DT,Louisville,,6030,313,71.1,-2.9,0.2,Richardson,6030,313,32.625,10.25,81.5,5.76,3.39,2.08,4.95,7.96,,24,8.08
130,Tony Porter,,DT,Ohio,,6002,257,66.5,-3.2,0.1,Porter,6002,257,32.875,10.25,77.25,5.27,2.97,1.8,5.07,7.87,16,23,8.08
131,Jason Morrow,,DT,Tennessee State,,6031,292,65.9,-3.2,0.1,Morrow,6031,292,32.25,10.5,79,5.6,3.12,1.95,4.8,8.26,15,23,7.83
132,Tashon Smallwood,,DT,Arizona State,,6001,280,64.2,-3.4,0,Smallwood,6001,280,32.625,8.5,78.75,5.37,3.01,1.82,4.9,7.97,18,21,7.42
133,Herbert Moore,,DT,Mississippi,,6010,320,63.9,-3.4,0,Moore,6010,320,32.5,10.125,77.375,5.56,3.21,1.9,5.25,8.5,16,21,7.17
134,Ali Ali-Musa,,DT,Massachusetts,,6011,262,63,-3.4,0,Ali-Musa,6011,262,33,9.25,79.125,5.59,3.1,1.84,5.19,8.29,18,23,7.83
135,Kentavius Street,DL47,DT,North Carolina State,22.3,6022,280,,,,Street,6022,280,32.875,10.25,78.75,4.87,2.79,1.66,,,28,,
136,Vita Vea,DL22,DT,Washington,23.6,6040,347,,,,Vea,6040,347,32.625,10,76.25,5.1,2.95,1.76,,,41,,
