#,Name,ID,Pos.,School,Age,HT,WT,pSPARQ,z-score,NFL%,LastName,HT,WT,Arm,Hand,Wing,40,20,10,SS,TC,BP,VJ,BJ
60,Jordan Harold,,DE,Missouri,,6006,238,100.9,-1.4,8,Harold,6006,238,32.625,10.5,79.375,4.9,2.8,1.67,4.44,7.12,15,31,9.58
61,Dominic Perkovic,,DE,Columbia,,6050,266,100.6,-1.4,7.7,Perkovic,6050,266,33,9.75,78.875,4.99,2.9,1.7,4.43,7.25,23,29.5,9.25
62,Chandler Burkett,,DE,Maryland,,6031,249,100.4,-1.4,7.5,Burkett,6031,249,32,9.625,76.25,4.92,2.89,1.69,4.57,7.39,16,31.5,10
63,Timothy Coleman,,DE,Colorado,,6020,236,100,-1.5,7.1,Coleman,6020,236,33.125,9.625,79.5,4.69,2.75,1.69,4.57,7.44,19,32,9.42
64,Baker Pritchard,,DE,Oregon State,,6023,259,99.9,-1.5,7,Pritchard,6023,259,32.625,10.25,77.5,5.04,2.9,1.76,4.7,7.43,24,34,9.83
65,Trent Harris,,DE,Miami,,6016,246,99.8,-1.5,6.8,Harris,6016,246,32.5,9.5,80.125,5.02,2.83,1.72,4.45,7.18,17,32,9.75
66,Jacob Tuioti-Mariner,,DE,UCLA,,6020,265,99.5,-1.5,6.6,Tuioti-Mariner,6020,265,31.875,9.5,77.125,4.88,2.82,1.67,,,21,29,9.17
67,Terrell Woods,,DE,Samford,,6006,249,99.4,-1.5,6.5,Woods,6006,249,30.75,10.125,75,4.85,2.8,1.63,4.65,7.72,20,32,9.83
68,James Hearns,LB16,DE,Louisville,24.9,6024,239,98.3,-1.6,5.5,Hearns,6024,239,32.5,9.375,76.5,4.78,2.72,1.67,4.52,7.2,22,30,
69,Gelen Robinson,,DE,Purdue,,6012,283,98.2,-1.6,5.5,Robinson,6012,283,31.5,9.625,77.875,5,2.9,1.87,4.32,7.65,28,28.5,9.17
70,Ebenezer Ogundeko,,DE,Tennessee State,,6026,240,98,-1.6,5.3,Ogundeko,6026,240,33.5,10,79.75,4.88,2.83,1.78,4.53,7.44,25,32.5,9.67
71,Bunmi Rotimi,DL45,DE,Old Dominion,,6031,273,97.7,-1.6,5,Rotimi,6031,273,34.875,9.75,82.625,5.05,2.94,1.76,4.7,7.42,21,32,9.42
72,Xavier Thigpen,,DE,Southern Miss,23.7,6047,227,97.6,-1.6,5,Thigpen,6047,227,34.625,10.375,85.125,4.81,2.75,1.65,4.5,7.36,14,30,9.75
73,Austin Larkin,,DE,Purdue,,6025,254,97.2,-1.7,4.7,Larkin,6025,254,33.25,9.375,79,4.95,2.86,1.71,4.51,7.2,21,28.5,9.58
74,Gabe Perez,,DE,Boise State,,6042,247,96.9,-1.7,4.4,Perez,6042,247,31.75,9.5,,4.8,2.72,1.71,4.73,7.25,,31,9.25
75,Taylor Pili,,DE,Southern Utah,,6032,233,96.8,-1.7,4.4,Pili,6032,233,30.875,9.625,76.375,4.85,2.78,1.68,4.64,7.65,16,33.5,9.92
76,Andrew Trumbetti,,DE,Notre Dame,,6037,249,96.4,-1.7,4.1,Trumbetti,6037,249,30.875,10,74.5,4.87,2.75,1.65,4.69,7.18,25,30,9.08
77,Garrett Hughes,,DE,New Mexico,,6014,244,96.4,-1.7,4.1,Hughes,6014,244,31.375,8.75,79,4.76,2.83,1.65,4.44,7.3,17,30.5,8.67
78,JoJo Wicker,DL50,DE,Arizona State,,6016,296,96.1,-1.8,3.9,Wicker,6016,296,31.75,9.125,75.25,5.03,2.94,1.76,5.02,7.65,25,30,9.17
79,D.J. Ward,,DE,Oklahoma,,6025,245,95.1,-1.8,3.3,Ward,6025,245,34.25,10.375,81.125,4.79,2.75,1.63,4.56,7.47,20,29,9.17
80,Robert Stanley,,DE,Fresno State,,6024,237,94.4,-1.9,2.9,Stanley,6024,237,32.75,10.375,80.125,4.81,2.72,1.74,4.44,7.21,12,33.5,8.67
81,Santo Coppola,,DE,Air Force,,6040,242,94.1,-1.9,2.8,Coppola,6040,242,31.875,8.875,76.625,5.02,2.84,1.58,4.7,7.19,14,30,9.42
82,Talor Nunez,,DE,Texas Tech,,6026,261,93.7,-1.9,2.6,Nunez,6026,261,32.25,9.375,76.625,5.06,2.85,1.8,4.41,7.37,30,27.5,9.33
83,Dajaun Drennon,,DE,North Carolina,,6026,243,93.5,-2,2.5,Drennon,6026,243,34.375,9.75,82,4.79,2.79,1.7,4.53,7.65,21,30.5,9.25
84,Kiante Anderson,,DE,East Carolina,,6031,260,93.5,-2,2.5,Anderson,6031,260,33.5,9.25,78.75,4.85,2.81,1.72,4.53,7.65,20,29.5,9.17
85,Cole Ormsby,,DE,Connecticut,,6026,283,93.4,-2,2.5,Ormsby,6026,283,32.5,10.125,78.625,5.23,2.91,1.78,4.74,7.57,33,29.5,9.17
86,Greg Gooch,,DE,Indiana,,6010,254,91.4,-2.1,1.7,Gooch,6010,254,31.125,10.125,77.375,5,2.91,1.78,4.5,7.19,21,29,9.17
87,Justin Lawler,,DE,SMU,,6041,263,91.4,-2.1,1.7,Lawler,6041,263,32.5,9.25,78.125,5.03,2.88,1.78,4.46,7.44,22,30.5,8.83
