#,Name,ID,Pos.,School,Age,HT,WT,pSPARQ,z-score,NFL%,LastName,HT,WT,Arm,Hand,Wing,40,20,10,SS,TC,BP,VJ,BJ
90,Oliver Bates,,OG,Southern Miss,,6030,290,93.9,-0.7,23.6,Bates,6030,290,,,,5.16,2.87,1.74,5.07,7.75,27,29,8.5
91,J.T. Boyd,,OG,East Carolina,,6033,294,93.9,-0.7,23.4,Boyd,6033,294,,,,5.27,3.05,1.79,4.72,7.66,25,28.5,8.58
92,Brad Seaton,,OT,Villanova,,6085,329,94.7,-0.7,23.4,Seaton,6085,329,,,,5.37,3.15,1.86,5,7.84,24,26,8.75
93,Sam Tevi,OL43,OT,Utah,22.8,6053,311,94.6,-0.7,23.2,Tevi,6053,311,34,10.125,80.625,5.27,3.02,1.8,4.6,7.84,15,26,8.92
94,Anthony Pullins,,C,Stephen F. Austin,,6007,310,94.6,-0.7,22.7,Pullins,6007,310,,,,5.46,3.11,1.85,4.99,8.14,33,29.5,8.5
95,Levon Myers,,OT,Northern Illinois,23.6,6046,309,94.4,-0.7,22.7,Myers,6046,309,33.25,9.875,79.75,5.41,2.94,1.82,4.83,7.52,24,26.5,8.5
96,Mitchell Kirsch,,OT,James Madison,,6047,306,94.3,-0.8,22.5,Kirsch,6047,306,,,,5.25,2.96,1.82,,,21,28,8.75
97,Erik Austell,OL02,OT,Charleston Southern,,6032,301,94.2,-0.8,22.3,Austell,6032,301,32,9,75.25,5.21,3.01,1.79,4.9,8.13,24,27.5,8.92
98,Chase Tidwell,,OT,Coastal Carolina,,6047,304,94.1,-0.8,22.2,Tidwell,6047,304,,,,5.21,2.92,1.84,4.65,7.75,21,27,9
99,Kevin Malloy,,OT,Albany,,6041,283,93.4,-0.8,20.5,Malloy,6041,283,,,,5.26,2.94,1.7,4.6,7.68,24,27,8.25
100,Kato Fawkes,,OG,Idaho,,6025,299,92.6,-0.8,20.3,Fawkes,6025,299,,,,5.33,3.06,1.82,4.6,7.72,18,29.5,8.42
101,Tyler Hayworth,,OG,Wake Forest,,6031,323,92.6,-0.8,20.3,Hayworth,6031,323,,,,5.66,3.21,1.94,5.03,8.26,26,29.5,8.75
102,Parker Collins,,OG,Appalachian State,,6020,304,92.5,-0.8,20.1,Collins,6020,304,,,,5.13,3,1.82,4.74,8.2,25,28,8.67
103,Justin Adekoya,,OT,Eastern Kentucky,,6040,308,92.9,-0.9,19.6,Adekoya,6040,308,,,,5.42,3.02,1.8,4.95,7.93,17,28,8.67
104,Wendy Laurent,,OG,Penn State,,6017,288,92.2,-0.9,19.4,Laurent,6017,288,,,,5.46,3.06,1.77,4.82,7.65,19,29,8.58
105,Jordan Simmons,,OG,Southern Cal,,6035,339,91.9,-0.9,18.8,Simmons,6035,339,,,,5.21,3.05,1.83,4.86,8.03,23,25,8.25
106,Zach Johnson,,OG,North Dakota State,23.8,6042,346,91.8,-0.9,18.6,Johnson,6042,346,31.5,9.625,75.875,5.59,3.15,1.87,5.07,8.34,24,26.5,8.25
107,Will Kreitler,,C,UNLV,,6004,292,92.6,-0.9,18.1,Kreitler,6004,292,,,,5.16,3.03,1.84,4.6,7.59,24,28.5,8.58
108,Corin Brooks,,OG,Texas-Permian Basin,,6031,312,91.5,-0.9,18,Brooks,6031,312,,,,5.11,2.95,1.84,4.85,8.15,24,27.5,8.58
109,Will Chatmon,,OG,Tennessee Tech,,6032,295,91.4,-0.9,17.8,Chatmon,6032,295,,,,5.64,3.15,1.82,4.69,7.69,18,29.5,8.5
110,Alex Kozan,,OG,Auburn,23.8,6034,309,91.4,-0.9,17.7,Kozan,6034,309,34.25,10.75,78.625,5.53,3.16,1.87,4.83,7.84,18,31,8.25
111,Steven Matlock,,C,Idaho,,6015,270,92.3,-0.9,17.3,Matlock,6015,270,,,,5.17,2.96,1.77,4.62,7.55,24,29.5,8.67
112,Korren Kirven,,OG,Alabama,,6042,315,91.1,-1,17,Kirven,6042,315,,,,5.23,2.96,1.82,,,,26.5,8.25
113,Justin Traxinger,,OT,Colorado Mines,,6067,333,91.6,-1,16.9,Traxinger,6067,333,,,,5.5,3.15,1.9,4.68,8.2,21,29,8.17
114,Max Halpin,,C,Western Kentucky,,6034,300,92,-1,16.8,Halpin,6034,300,,,,5.35,3.06,1.82,4.89,7.59,35,28,8.08
115,Drake Miller,,OT,Ball State,,6046,306,91.5,-1,16.7,Miller,6046,306,,,,5.18,2.95,1.83,4.95,7.93,28,29,8.25
116,Jonah Pirsig,,OT,Minnesota,24.3,6077,314,91.2,-1,16.2,Pirsig,6077,314,32.5,10.125,80.25,5.38,3.06,1.83,4.87,7.87,20,27,8.5
117,DAndre Banks,,OG,Kansas,,6022,309,90.6,-1,16,Banks,6022,309,,,,5.4,3.08,1.84,4.78,7.81,22,28.5,8.25
118,Jack Plankers,,OG,North Dakota State,,6072,332,90.5,-1,15.8,Plankers,6072,332,,,,5.53,3.2,1.94,4.82,7.9,26,27,8.42
119,Clint Van Horn,,OT,Marshall,,6045,308,91,-1,15.8,Van Horn,6045,308,,,,5.44,3.11,1.9,4.73,7.88,26,30.5,8.25
120,Armando Bonheur,,OG,Samford,,6023,305,90.4,-1,15.7,Bonheur,6023,305,,,,5.25,3.04,1.82,5.09,8.2,21,28.5,8.58
121,Lincoln Howard,,OG,Northern Illinois,,6051,300,90.4,-1,15.7,Howard,6051,300,,,,5.08,2.89,1.87,4.83,7.8,11,29,8.92
122,Landon Lechler,,OT,North Dakota State,,6070,310,90.9,-1,15.6,Lechler,6070,310,,,,5.32,3.02,1.88,4.88,7.96,20,27,8.92
123,Connor Bozick,,OT,Delaware,,6045,293,90.9,-1,15.5,Bozick,6045,293,,,,5.34,3.06,1.81,4.7,7.56,20,27.5,8.5
124,Jamie Collmar,,OG,Appalachian State,,6012,292,90.3,-1,15.4,Collmar,6012,292,,,,5.3,3.09,1.79,4.62,7.8,25,28,8.33
125,Anton Wahrby,,OG,Wofford,,6025,300,90.2,-1,15.3,Wahrby,6025,300,,,,5.29,3.03,1.85,4.65,8.49,27,29.5,8.5
126,Dan Skipper,OL42,OT,Arkansas,22.9,6095,309,90.4,-1,14.7,Skipper,6095,309,33.375,10.5,80.125,5.26,3.06,1.78,4.94,7.5,19,26,8.08
127,Jamal Covington,,OT,Charlotte,,6034,299,90.2,-1.1,14.4,Covington,6034,299,,,,5.18,2.96,1.77,4.95,7.91,21,27,8.5
128,Cameron Lee,OL28,OG,Illinois State,23.7,6046,312,89.6,-1.1,14.2,Lee,6046,312,33.875,10.875,82.125,5.39,3.1,1.76,4.75,8.02,18,25.5,8.33
129,Chase Roullier,OL38,OC,Wyoming,24,6035,312,90.6,-1.1,14.1,Roullier,6035,312,32.25,9.5,76.375,5.42,3.09,1.93,4.47,7.6,20,26.5,8.58
130,Augie Conte,,OG,Virginia Tech,,6056,306,89.6,-1.1,14.1,Conte,6056,306,,,,5.34,3.09,1.86,4.76,7.76,27,27.5,8.33
131,Travis Averill,,OG,Boise State,,6030,304,89.5,-1.1,14,Averill,6030,304,,,,5.39,3.03,1.84,4.67,7.73,23,27.5,8.33
132,Jake Eldrenkamp,,OG,Washington,,6044,302,89.5,-1.1,13.8,Eldrenkamp,6044,302,33.5,10,78.75,5.39,3.1,1.88,4.71,7.71,,26,8.83
133,Barrett Gouger,,C,Vanderbilt,,6035,309,90.5,-1.1,13.8,Gouger,6035,309,,,,5.23,3,1.87,4.84,7.71,21,28.5,8.42
134,DeArius Young,,OG,South Alabama,,6047,326,89.2,-1.1,13.5,Young,6047,326,,,,5.4,3.15,1.85,,,15,27.5,8.17
135,Benny McGowan,,OG,Michigan State,,6030,324,89.1,-1.1,13.2,McGowan,6030,324,,,,5.55,3.18,1.93,4.6,7.7,29,26,8.25
136,Dillon DeBoer,,C,Florida Atlantic,,6047,302,90.1,-1.1,13.1,DeBoer,6047,302,,,,5.35,3.08,1.82,4.71,8,25,29,8.17
137,Casey Perry,,OG,Charlotte,,6021,346,88.9,-1.1,12.9,Perry,6021,346,,,,5.59,3.12,1.88,5.2,8.08,27,25.5,8
138,Daniel Brunskill,OL07,OT,San Diego State,23.6,6051,273,89.1,-1.1,12.6,Brunskill,6051,273,33.875,9.875,79.375,5.2,2.95,1.84,4.78,7.64,23,28.5,9.08
139,Jackson Thiebes,,OT,Montana,,6047,315,89,-1.2,12.5,Thiebes,6047,315,,,,5.4,3.03,1.81,4.94,7.9,17,26.5,8.33
140,Lenicio Noble,,C,Colorado State-Pueblo,,6024,288,89.4,-1.2,11.9,Noble,6024,288,,,,5.23,2.94,1.78,4.66,7.57,20,26,8.58
141,Adam Bisnowaty,OL04,OT,Pittsburgh,23.7,6055,304,88.6,-1.2,11.9,Bisnowaty,6055,304,33.875,11.375,80.5,5.23,3.03,1.82,4.88,8.02,23,29.5,8
142,Greg Pyke,,OG,Georgia,,6045,330,88.2,-1.2,11.6,Pyke,6045,330,,,,5.28,3.12,1.77,4.84,7.91,24,20,8.5
143,Jordan Morgan,OL32,OG,Kutztown,23.3,6025,309,88.1,-1.2,11.5,Morgan,6025,309,34.625,10,80,5.36,3.11,1.86,4.73,8.13,21,27,8.5
144,Austin Stephens,,C,Utah State,,6026,309,89.1,-1.2,11.4,Stephens,6026,309,,,,5.21,2.95,1.78,4.71,8.09,20,25,8.5
